diocese,oa_2022_code,oa_in_dio
Aberdeen and Orkney,S00137304,0.99425
Aberdeen and Orkney,S00138125,0.99447
Aberdeen and Orkney,S00137276,0.99449
Aberdeen and Orkney,S00136746,0.99452
Aberdeen and Orkney,S00174714,0.99465
Aberdeen and Orkney,S00170641,0.99471
Aberdeen and Orkney,S00170768,0.99473
Aberdeen and Orkney,S00170775,0.99478
Aberdeen and Orkney,S00174754,0.99498
Aberdeen and Orkney,S00139126,0.99508
Aberdeen and Orkney,S00137488,0.99509
Aberdeen and Orkney,S00137648,0.9951
Aberdeen and Orkney,S00137382,0.99517
Aberdeen and Orkney,S00174703,0.99517
Aberdeen and Orkney,S00137285,0.99528
Aberdeen and Orkney,S00174711,0.99532
Aberdeen and Orkney,S00137616,0.99533
Aberdeen and Orkney,S00174736,0.99548
Aberdeen and Orkney,S00174762,0.99551
Aberdeen and Orkney,S00137460,0.99557
Aberdeen and Orkney,S00174709,0.99575
Aberdeen and Orkney,S00174757,0.99589
Aberdeen and Orkney,S00138872,0.99593
Aberdeen and Orkney,S00170655,0.99597
Aberdeen and Orkney,S00137762,0.99614
Aberdeen and Orkney,S00137063,0.99615
Aberdeen and Orkney,S00170660,0.99616
Aberdeen and Orkney,S00137251,0.99624
Aberdeen and Orkney,S00174706,0.99635
Aberdeen and Orkney,S00137575,0.99638
Aberdeen and Orkney,S00170656,0.9964
Aberdeen and Orkney,S00170623,0.9965
Aberdeen and Orkney,S00170619,0.99652
Aberdeen and Orkney,S00137286,0.9966
Aberdeen and Orkney,S00170622,0.9966
Aberdeen and Orkney,S00174733,0.99663
Aberdeen and Orkney,S00174712,0.99667
Aberdeen and Orkney,S00174744,0.99675
Aberdeen and Orkney,S00170604,0.99676
Aberdeen and Orkney,S00138865,0.99678
Aberdeen and Orkney,S00170762,0.9968
Aberdeen and Orkney,S00174865,0.9968
Aberdeen and Orkney,S00170781,0.99681
Aberdeen and Orkney,S00174755,0.99687
Aberdeen and Orkney,S00137270,0.99692
Aberdeen and Orkney,S00174767,0.99699
Aberdeen and Orkney,S00170764,0.99702
Aberdeen and Orkney,S00174718,0.99704
Aberdeen and Orkney,S00136102,0.99706
Aberdeen and Orkney,S00137444,0.99709
Aberdeen and Orkney,S00137265,0.99714
Aberdeen and Orkney,S00137320,0.99726
Aberdeen and Orkney,S00137915,0.99731
Aberdeen and Orkney,S00138242,0.99731
Aberdeen and Orkney,S00174722,0.99731
Aberdeen and Orkney,S00138548,0.99737
Aberdeen and Orkney,S00138120,0.99746
Aberdeen and Orkney,S00174766,0.9976
Aberdeen and Orkney,S00137287,0.99765
Aberdeen and Orkney,S00170765,0.99769
Aberdeen and Orkney,S00170664,0.99775
Aberdeen and Orkney,S00138308,0.99786
Aberdeen and Orkney,S00174749,0.99786
Aberdeen and Orkney,S00170630,0.99795
Aberdeen and Orkney,S00174785,0.99798
Aberdeen and Orkney,S00138337,0.99801
